Time stamp,Contador,DL_B0,DL_B1,DL_B2,DL_B3,DL_B4,DL_B5,DL_B6,DL_B7,DL_B8,DL_B9,DL_B10,DL_B11,DL_B12,DL_B13,DL_B14,DL_B15,DL_B16,DL_B17,DL_B18,DL_B19,UL_B0,UL_B1,UL_B2,UL_B3,UL_B4,UL_B5,UL_B6,UL_B7,UL_B8,UL_B9,UL_B10,UL_B11,UL_B12,UL_B13,UL_B14,UL_B15,UL_B16,UL_B17,UL_B18,UL_B19
Wed Aug 12 23:27:11 2026,1,7, 3, 5, 20, 0, 100, 2, 4, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0,102, 142, 96, 140, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 9, 219, 1
Wed Aug 12 23:27:13 2026,2,7, 3, 5, 20, 0, 100, 2, 4, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0,98, 141, 96, 141, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 8, 240, 1
Wed Aug 12 23:27:14 2026,3,7, 3, 5, 20, 0, 100, 2, 4, 1, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0,100, 142, 96, 141, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 3, 0, 10, 187, 1
Wed Aug 12 23:27:15 2026,4,7, 3, 5, 20, 0, 100, 2, 4, 1, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0,102, 142, 96, 144, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 4, 0, 10, 115, 1
Wed Aug 12 23:27:17 2026,5,7, 3, 5, 20, 0, 100, 2, 4, 1, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0,100, 142, 96, 140, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 5, 0, 10, 108, 1
Wed Aug 12 23:27:18 2026,6,7, 3, 5, 20, 0, 100, 2, 4, 1, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0,100, 141, 96, 142, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 6, 0, 8, 240, 1
Wed Aug 12 23:27:19 2026,7,7, 3, 5, 20, 0, 100, 2, 4, 1, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0,102, 142, 96, 141, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 7, 0, 9, 7, 1
Wed Aug 12 23:27:20 2026,8,7, 3, 5, 20, 0, 100, 2, 4, 1, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0,100, 142, 96, 142, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 8, 0, 9, 67, 1
Wed Aug 12 23:27:22 2026,9,7, 3, 5, 20, 0, 100, 2, 4, 1, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0,100, 141, 96, 140, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 9, 0, 10, 185, 1
Wed Aug 12 23:27:23 2026,10,7, 3, 5, 20, 0, 100, 2, 4, 1, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0,102, 141, 96, 142, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 10, 0, 10, 91, 1
Wed Aug 12 23:27:25 2026,11,7, 3, 5, 20, 0, 100, 2, 4, 1, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0,98, 140, 89, 141, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 11, 0, 9, 16, 1
Wed Aug 12 23:27:26 2026,12,7, 3, 5, 20, 0, 100, 2, 4, 1, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0,98, 140, 94, 142, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 12, 0, 9, 255, 1
Wed Aug 12 23:27:27 2026,13,7, 3, 5, 20, 0, 100, 2, 4, 1, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0,98, 140, 87, 141, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 13, 0, 9, 255, 1
Wed Aug 12 23:27:28 2026,14,7, 3, 5, 20, 0, 100, 2, 4, 1, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0,96, 140, 92, 140, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 14, 0, 8, 240, 1
Wed Aug 12 23:27:30 2026,15,7, 3, 5, 20, 0, 100, 2, 4, 1, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0,96, 140, 89, 141, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 15, 0, 10, 169, 1
Wed Aug 12 23:27:31 2026,16,7, 3, 5, 20, 0, 100, 2, 4, 1, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0,98, 142, 89, 140, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 16, 0, 10, 179, 1
Wed Aug 12 23:27:32 2026,17,7, 3, 5, 20, 0, 100, 2, 4, 1, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0,96, 141, 92, 141, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 17, 0, 9, 48, 1
