Time stamp,Contador,DL_B0,DL_B1,DL_B2,DL_B3,DL_B4,DL_B5,DL_B6,DL_B7,DL_B8,DL_B9,DL_B10,DL_B11,DL_B12,DL_B13,DL_B14,DL_B15,DL_B16,DL_B17,DL_B18,DL_B19,UL_B0,UL_B1,UL_B2,UL_B3,UL_B4,UL_B5,UL_B6,UL_B7,UL_B8,UL_B9,UL_B10,UL_B11,UL_B12,UL_B13,UL_B14,UL_B15,UL_B16,UL_B17,UL_B18,UL_B19
Sat Aug  8 11:39:44 2026,1,7, 3, 5, 20, 0, 100, 2, 4, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0,12, 142, 8, 142, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 181, 1
Sat Aug  8 11:39:46 2026,2,7, 3, 5, 20, 0, 100, 2, 4, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0,12, 141, 8, 143, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 181, 1
Sat Aug  8 11:39:49 2026,3,7, 3, 5, 20, 0, 100, 2, 4, 1, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0,9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9
Sat Aug  8 11:39:50 2026,4,7, 3, 5, 20, 0, 100, 2, 4, 1, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0,8, 141, 6, 144, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 4, 0, 0, 176, 1
Sat Aug  8 11:39:51 2026,5,7, 3, 5, 20, 0, 100, 2, 4, 1, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0,10, 141, 6, 142, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 5, 0, 0, 176, 1
Sat Aug  8 11:39:53 2026,6,7, 3, 5, 20, 0, 100, 2, 4, 1, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0,10, 140, 6, 143, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 6, 0, 0, 177, 1
Sat Aug  8 11:39:54 2026,7,7, 3, 5, 20, 0, 100, 2, 4, 1, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0,10, 141, 4, 143, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 7, 0, 0, 176, 1
Sat Aug  8 11:39:55 2026,8,7, 3, 5, 20, 0, 100, 2, 4, 1, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0,10, 141, 4, 143, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 8, 0, 0, 176, 1
Sat Aug  8 11:39:57 2026,9,7, 3, 5, 20, 0, 100, 2, 4, 1, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0,10, 141, 6, 142, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 9, 0, 0, 176, 1
Sat Aug  8 11:39:58 2026,10,7, 3, 5, 20, 0, 100, 2, 4, 1, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0,10, 142, 6, 143, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 10, 0, 0, 178, 1
